iter	RMSE
145	172856.3767
146	172691.5085
147	172557.2719
148	172458.5031
149	172283.4178
150	172069.4991
151	171889.0576
152	171745.437
153	171561.2024
154	171435.1616
155	171245.729
156	171126.8615
157	170869.2995
158	170774.9004
159	170636.1023
160	170518.9245
161	170389.2314
162	170315.7526
163	170203.7772
164	170090.8488
165	169818.0087
166	169516.8383
167	169121.8407
168	168962.5695
169	168863.3262
170	168703.6859
171	168512.6445
172	168299.9202
173	168133.6614
174	168033.0332
175	167849.369
176	167663.9844
177	167590.0506
178	167413.9913
179	167316.1261
180	167240.1851
181	167099.2721
182	167007.579
183	166884.9903
184	166753.4528
185	166597.7611
186	166455.6869
187	166276.549
188	166142.8816
189	166055.3553
190	165943.2666
191	165873.8435
192	165792.4829
193	165679.9332
194	165414.8245
195	165296.4786
196	165225.8441
197	165112.2906
198	164907.9878
199	164791.2509
200	164717.6913
201	164524.2916
202	164277.9466
203	164213.8988
204	164093.9432
205	163828.8855
206	163768.6325
207	163613.1272
208	163544.9984
209	163392.0585
210	163278.4984
211	163221.4004
212	163015.9603
213	162888.9561
214	162790.8861
215	162672.4357
216	162601.7376
217	162509.4338
218	162436.6494
219	162341.5001
220	162138.4659
221	162039.4384
222	161904.3274
223	161752.2736
224	161473.8898
225	161309.4965
226	161240.0461
227	161011.6142
228	160897.1228
229	160842.76
230	160763.4613
231	160710.0375
232	160605.6309
233	160499.1242
234	160347.6936
235	160146.5679
236	160037.6665
237	159836.5736
238	159770.4743
239	159690.3257
240	159638.532
241	159576.6403
242	159514.9973
243	159391.7766
244	159213.9203
245	159080.0467
246	158954.9478
247	158823.4038
248	158745.2145
249	158563.7266
250	158510.3456
251	158400.6397
252	158317.0905
253	158220.7183
254	158162.3391
255	158058.1217
256	157946.8488
257	157779.7106
258	157701.6434
259	157630.2288
260	157567.8168
261	157488.654
262	157375.5556
263	157332.5455
264	157269.7821
265	157163.2656
266	157079.2538
267	156920.9255
268	156837.4577
269	156748.4239
270	156683.4546
271	156583.546
272	156508.2327
273	156440.8008
274	156320.8687
275	156277.6357
276	156058.4462
277	156008.705
278	155912.2877
279	155811.2045
280	155703.2465
281	155591.8328
282	155521.8291
283	155431.5156
284	155369.7552
285	155261.1051
286	155214.1249
287	155147.5853
288	155048.558
289	154973.156
290	154911.6048
291	154859.9854
292	154776.998
293	154605.3587
294	154481.0342
295	154349.4332
296	154165.762
297	154109.1145
298	153957.869
299	153902.0599
300	153827.4916
301	153665.9638
302	153539.9526
303	153492.333
304	153334.3581
305	153271.5056
306	153163.2176
307	153079.0417
308	153017.0012
309	152917.9924
310	152861.6216
311	152577.3855
312	152489.8247
313	152356.1663
314	152293.5486
315	152196.6901
316	152145.4755
317	152076.269
318	152006.6428
319	151958.9467
320	151857.1922
321	151781.7233
322	151688.6478
323	151589.9377
324	151543.3713
325	151464.0936
326	151321.9574
327	151261.4236
328	151176.4015
329	151044.0821
330	150991.6115
331	150940.8854
332	150890.5706
333	150819.8676
334	150715.844
335	150647.9181
336	150557.9579
337	150488.5261
338	150390.9538
339	150340.8809
340	150236.4298
341	150187.5251
342	150117.1265
343	150062.8467
344	149994.0724
345	149835.4562
346	149771.3209
347	149658.9915
348	149605.1262
349	149536.8334
350	149459.5478
351	149312.3738
352	149198.609
353	149138.4011
354	149093.4459
355	148997.9044
356	148957.8119
357	148867.1248
358	148759.6186
359	148688.2867
360	148643.407
361	148554.22
362	148491.0064
363	148450.6672
364	148407.0045
365	148360.1361
366	148318.8803
367	148256.2426
368	148115.6357
369	148043.533
370	147995.1995
371	147910.0955
372	147852.6907
373	147788.425
374	147749.1468
375	147579.3613
376	147527.4802
377	147498.0919
378	147420.3111
379	147296.1697
380	147261.7386
381	147216.7229
382	147096.3892
383	147067.3332
384	146865.5589
385	146805.9902
386	146764.1452
387	146665.0543
388	146590.598
389	146537.488
390	146495.3299
391	146455.9027
392	146419.2269
393	146274.1869
394	146250.1343
395	146170.227
396	145967.874
397	145946.5905
398	145860.6035
399	145804.9369
400	145762.923
401	145704.6009
402	145633.6034
403	145618.2988
404	145548.6034
405	145405.766
406	145361.425
407	145261.6492
408	145172.4511
409	145088.1933
410	144996.1044
411	144961.2817
412	144938.6557
413	144870.4788
414	144822.8481
415	144760.9069
416	144694.6574
417	144586.1152
418	144520.6816
419	144444.6196
420	144370.5018
421	144305.5542
422	144272.7908
423	144198.2803
424	144088.051
425	143948.4649
426	143912.4995
427	143845.453
428	143778.1999
429	143718.9235
430	143658.4125
431	143655.1258
432	143614.1329
433	143591.4624
434	143530.8793
435	143445.3749
436	143429.7268
437	143318.0335
438	143204.9011
439	143077.1999
440	143029.7279
441	142974.5121
442	142883.9912
443	142794.6596
444	142707.8689
445	142690.0866
446	142616.0473
447	142525.8651
448	142464.9668
449	142409.974
450	142348.3164
451	142290.6154
452	142221.3281
453	142172.3764
454	142127.2261
455	142068.3682
456	142058.3694
457	142023.9768
458	141954.6176
459	141862.2877
460	141826.2428
461	141784.4701
462	141748.015
463	141687.2366
464	141668.6525
465	141639.2471
466	141602.1358
467	141519.9852
468	141429.4388
469	141361.5503
470	141327.6592
471	141261.087
472	141222.5706
473	141187.2027
474	141124.121
475	141017.3408
476	140961.7688
477	140896.0148
478	140843.0556
479	140762.2013
480	140702.6026
481	140648.6623
482	140486.6736
483	140450.757
484	140402.0582
485	140360.0055
486	140252.6251
487	140213.6405
488	140161.9277
489	140125.5569
490	140115.3547
491	140057.8929
492	140036.3981
493	140014.3585
494	139869.373
495	139818.7864
496	139731.8986
497	139699.5534
498	139553.7427
499	139473.4608
500	139418.8009
501	139353.1754
502	139313.7869
503	139237.3555
504	139169.7747
505	139092.824
506	139046.2325
507	139037.1892
508	138984.7724
509	138956.3691
510	138805.4764
511	138770.0811
512	138739.1628
513	138673.1861
514	138569.7866
515	138537.2811
516	138513.2299
517	138468.1081
518	138412.3284
519	138366.3748
520	138255.8205
521	138189.9687
522	138114.2131
523	138083.3996
524	138001.5559
525	137953.5123
526	137904.3851
527	137800.0359
528	137751.6836
529	137646.942
530	137626.959
531	137565.9997
532	137503.789
533	137426.0369
534	137423.5673
535	137378.5461
536	137311.0138
537	137255.9554
538	137225.9355
539	137192.0532
540	137159.1532
541	137132.1794
542	137051.3133
543	137022.7388
544	136953.5635
545	136883.5382
546	136799.4812
547	136718.4217
548	136693.2847
549	136651.7139
550	136619.1508
551	136552.9867
552	136511.9573
553	136468.1473
554	136403.4253
555	136294.9259
556	136214.5328
557	136168.1805
558	136134.7547
559	136122.5961
560	136025.7979
561	135952.226
562	135910.8953
563	135861.7799
564	135802.7517
565	135775.0411
566	135713.901
567	135609.4966
568	135533.8551
569	135379.6578
570	135343.7579
571	135333.9294
572	135299.9854
573	135257.0785
574	135124.2077
575	135092.7359
576	135074.0181
577	134980.6344
578	134934.39
579	134862.079
580	134767.9594
581	134730.1675
582	134668.0855
583	134611.4228
584	134553.7991
585	134532.5543
586	134514.5115
587	134444.4808
588	134408.7379
589	134362.4005
590	134345.5469
591	134273.9122
592	134216.4946
593	134182.3625
594	134136.9431
595	134117.0913
596	134071.128
597	134026.1706
598	133937.565
599	133897.81
600	133887.8734
601	133823.026
602	133741.6979
603	133706.8021
604	133644.6896
605	133598.4203
606	133578.7161
607	133542.9004
608	133490.2748
609	133467.809
610	133387.4859
611	133348.2048
612	133330.3279
613	133311.7725
614	133285.9887
615	133224.0691
616	133179.3562
617	133100.4892
618	133035.3177
619	132993.9071
620	132971.7836
621	132921.7732
622	132890.036
623	132825.042
624	132815.456
625	132763.8702
626	132725.8982
627	132623.3005
628	132588.6611
629	132567.2975
630	132530.946
631	132486.6116
632	132442.0867
633	132403.0664
634	132384.9452
635	132345.5279
636	132314.0368
637	132214.393
638	132184.2454
639	132138.2282
640	132063.5779
641	131982.4732
642	131895.1011
643	131819.9607
644	131784.4582
645	131755.4641
646	131687.7888
647	131622.2933
648	131575.343
649	131518.0082
650	131439.7078
651	131387.1651
652	131362.4998
653	131327.6132
654	131291.5574
655	131251.8992
656	131234.2699
657	131188.3517
658	131167.191
659	131109.6804
660	131082.7607
661	131000.8168
662	130983.1513
663	130973.8671
664	130941.6406
665	130911.7067
666	130870.8633
667	130783.7137
668	130740.465
669	130714.851
670	130697.9756
671	130679.905
672	130603.7148
673	130562.0413
674	130491.9123
675	130438.0689
676	130354.5594
677	130290.5302
678	130187.3798
679	130123.043
680	130095.1607
681	130060.4694
682	130034.037
683	129972.391
684	129906.5691
685	129897.3435
686	129848.8534
687	129759.0762
688	129750.6643
689	129685.7626
690	129671.2505
691	129619.5305
692	129588.6016
693	129586.5354
694	129552.8679
695	129534.032
696	129481.4435
697	129457.5436
698	129445.3436
699	129391.6476
700	129344.5063
701	129293.8243
702	129247.4814
703	129206.0226
704	129166.1462
705	129149.9644
706	129119.0491
707	129042.9758
708	128998.2121
709	128962.3854
710	128917.3717
711	128866.2823
712	128783.1602
713	128652.3895
714	128620.0541
715	128593.3461
716	128578.7713
717	128508.5441
718	128474.133
719	128431.3099
720	128279.8176
721	128264.2016
722	128251.3003
723	128200.101
724	128125.2878
725	128103.5429
726	128053.3441
727	128027.3314
728	127979.4078
729	127935.5836
730	127911.8693
731	127874.4002
732	127839.2572
733	127767.7938
734	127738.5775
735	127655.8164
736	127622.6876
737	127560.6129
738	127496.6164
739	127476.246
740	127419.2326
741	127381.7487
742	127358.2469
743	127311.4614
744	127281.682
745	127220.4473
746	127180.1847
747	127164.4602
748	127126.7091
749	127082.0255
750	127057.5704
751	127008.6626
752	126976.3538
753	126953.0711
754	126938.3845
755	126872.8236
756	126829.1188
757	126797.2499
758	126753.4141
759	126713.1264
760	126693.6892
761	126643.8426
762	126610.4577
763	126600.3105
764	126572.3879
765	126528.404
766	126505.7812
767	126484.9617
768	126451.1569
769	126427.1086
770	126345.8559
771	126287.9006
772	126237.0356
773	126211.0041
774	126185.3188
775	126131.2084
776	126115.5102
777	126106.9012
778	126063.8429
779	126031.2441
780	125959.6603
781	125922.2177
782	125882.8076
783	125814.6618
784	125785.8268
785	125738.6011
786	125699.9703
787	125690.9679
788	125683.8751
789	125642.0166
790	125545.8859
791	125513.9909
792	125462.6011
793	125436.7658
794	125377.7999
795	125367.7528
796	125326.9042
797	125297.2445
798	125285.8266
799	125276.5255
800	125265.9694
801	125225.7761
802	125207.5038
803	125180.6065
804	125161.8635
805	125113.7926
806	125084.5012
807	125058.7161
808	125024.9867
809	124952.3471
810	124925.0414
811	124910.0628
812	124850.5673
813	124774.2379
814	124733.4959
815	124712.5924
816	124649.0823
817	124598.6298
818	124575.9914
819	124533.3909
820	124496.0291
821	124470.5754
822	124390.1286
823	124369.4407
824	124330.7931
825	124269.7113
826	124207.7539
827	124193.1158
828	124148.7595
829	124099.2277
830	124055.4994
831	124013.7839
832	123986.8562
833	123938.6975
834	123909.071
835	123887.8285
836	123875.1775
837	123846.5181
838	123809.7334
839	123787.7589
840	123754.6234
841	123667.9247
842	123587.9407
843	123527.6823
844	123503.9591
845	123477.6509
846	123423.9011
847	123408.2404
848	123356.368
849	123318.4681
850	123284.5129
851	123236.4752
852	123197.7201
853	123185.3701
854	123153.4168
855	123104.7424
856	123044.2243
857	123007.273
858	122992.7255
859	122849.5494
860	122823.2224
861	122784.918
862	122781.7084
863	122741.4297
864	122724.1257
865	122674.5017
866	122645.4457
867	122623.5618
868	122580.9872
869	122537.4203
870	122514.6671
871	122442.5099
872	122396.3303
873	122385.5028
874	122348.9233
875	122281.4667
876	122241.8565
877	122174.3461
878	122133.945
879	122120.5321
880	122095.3444
881	122037.5896
882	122023.109
883	121995.4817
884	121975.675
885	121950.5372
886	121933.2317
887	121904.2417
888	121885.2258
889	121865.8279
890	121837.8714
891	121784.1931
892	121738.6162
893	121724.2521
894	121694.9226
895	121628.7693
896	121604.0185
897	121581.6502
898	121559.5929
899	121534.756
900	121509.2089
901	121493.0025
902	121472.0598
903	121418.4841
904	121364.2869
905	121344.6081
906	121324.5383
907	121259.0759
908	121226.2202
909	121170.7306
910	121126.9741
911	121084.849
912	121063.6678
913	121056.0271
914	121026.9286
915	120986.6184
916	120940.1632
917	120911.1192
918	120853.2954
919	120801.6198
920	120776.7348
921	120765.0966
922	120740.441
923	120680.8121
924	120657.5519
925	120645.6753
926	120614.3292
927	120584.7094
928	120527.7284
929	120468.2929
930	120447.4971
931	120428.2944
932	120407.1743
933	120382.7114
934	120344.6937
935	120317.3996
936	120184.3273
937	120166.0147
938	120070.2279
939	120047.2379
940	120005.9697
941	119979.5746
942	119922.0374
943	119884.5195
944	119869.6
945	119852.6339
946	119833.7851
947	119816.2867
948	119792.1954
949	119754.7996
950	119720.4467
951	119693.9545
952	119645.6559
953	119605.4789
954	119582.4623
955	119571.5131
956	119521.5885
957	119511.6469
958	119483.3442
959	119441.1706
960	119375.4501
961	119364.4861
962	119342.1041
963	119274.7976
964	119206.8748
965	119163.3502
966	119134.3504
967	119069.4776
968	119021.2781
969	118995.4233
970	118986.8629
971	118956.9504
972	118902.5179
973	118817.4078
974	118800.1847
975	118769.2436
976	118741.6437
977	118685.3347
978	118661.5684
979	118646.3796
980	118636.6986
981	118600.4084
982	118547.8852
983	118524.4709
984	118504.2318
985	118487.7396
986	118447.9736
987	118426.4264
988	118399.6945
989	118358.4277
990	118343.8405
991	118314.3421
992	118307.9673
993	118292.5789
994	118280.9456
995	118251.4595
996	118210.9123
997	118181.5211
998	118147.9037
999	118126.3987
